WARNING 2025-05-26 16:55:39,129 deprecation From C:\Users\dokdo\anaconda3\envs\sjitcnn\lib\site-packages\tensorflow\python\util\dispatch.py:1176: calling reduce_sum_v1 (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING 2025-05-26 16:55:39,135 deprecation From C:\Users\dokdo\anaconda3\envs\sjitcnn\lib\site-packages\tensorflow\python\util\dispatch.py:1176: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
WARNING 2025-05-26 16:55:43,072 deprecation From C:\Users\dokdo\ams_cnn\scheduling\facenet.py:378: FastGFile.__init__ (from tensorflow.python.platform.gfile) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.gfile.GFile.
ERROR 2025-05-26 16:55:51,259 basehttp "GET /video_feed/2/ HTTP/1.1" 500 59
INFO 2025-05-26 16:56:11,563 basehttp "GET /stop-stream/2/ HTTP/1.1" 200 21
INFO 2025-05-26 16:56:11,572 basehttp "GET /stop-stream/2/ HTTP/1.1" 200 21
INFO 2025-05-26 17:01:36,699 basehttp "GET /schedules/ HTTP/1.1" 200 21019
INFO 2025-05-26 17:01:38,240 basehttp "GET /users/ HTTP/1.1" 200 21959
INFO 2025-05-26 17:01:41,358 basehttp "GET /students/ HTTP/1.1" 200 20894
INFO 2025-05-26 17:01:43,990 basehttp "GET /users/ HTTP/1.1" 200 21959
INFO 2025-05-26 17:03:09,886 basehttp "GET /users/data_preprocess/ HTTP/1.1" 302 0
INFO 2025-05-26 17:03:09,966 basehttp "GET /users/ HTTP/1.1" 200 23106
INFO 2025-05-26 17:04:42,732 basehttp "GET /users/train_cnn/ HTTP/1.1" 302 0
INFO 2025-05-26 17:04:42,988 basehttp "GET /users/ HTTP/1.1" 200 23050
INFO 2025-05-26 17:05:13,406 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 17:05:17,157 basehttp "GET /schedules/ HTTP/1.1" 200 21019
INFO 2025-05-26 17:05:24,093 basehttp "GET /schedules/2/edit/ HTTP/1.1" 200 20573
INFO 2025-05-26 17:05:30,169 basehttp "POST /schedules/2/edit/ HTTP/1.1" 302 0
INFO 2025-05-26 17:05:30,256 basehttp "GET /schedules/ HTTP/1.1" 200 22110
INFO 2025-05-26 17:05:36,529 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 17:12:38,536 basehttp "GET /stop-stream/2/ HTTP/1.1" 200 21
INFO 2025-05-26 17:12:38,563 basehttp "GET /stop-stream/2/ HTTP/1.1" 200 21
INFO 2025-05-26 17:13:08,266 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 17:14:29,684 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 17:16:25,246 basehttp "GET /stop-stream/2/ HTTP/1.1" 200 21
INFO 2025-05-26 17:16:25,274 basehttp "GET /stop-stream/2/ HTTP/1.1" 200 21
INFO 2025-05-26 17:16:27,293 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 17:17:16,739 autoreload C:\Users\dokdo\ams_cnn\classroom_scheduling\settings.py changed, reloading.
INFO 2025-05-26 17:17:25,555 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 17:17:46,787 basehttp "GET /schedules/ HTTP/1.1" 200 21019
INFO 2025-05-26 17:17:46,927 basehttp "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194900
INFO 2025-05-26 17:17:46,952 basehttp "GET /static/webs/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
INFO 2025-05-26 17:17:46,948 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 2771
INFO 2025-05-26 17:17:46,994 basehttp "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
INFO 2025-05-26 17:17:47,093 basehttp "GET /static/webs/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
INFO 2025-05-26 17:17:47,263 basehttp "GET /static/webs/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
INFO 2025-05-26 17:17:47,303 basehttp "GET /static/webs/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
INFO 2025-05-26 17:17:47,322 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
INFO 2025-05-26 17:17:47,103 basehttp "GET /static/webs/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
INFO 2025-05-26 17:17:47,355 basehttp "GET /static/webs/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
INFO 2025-05-26 17:17:47,049 basehttp "GET /static/webs/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
INFO 2025-05-26 17:17:47,653 basehttp "GET /static/webs/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
INFO 2025-05-26 17:17:47,446 basehttp "GET /static/webs/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
INFO 2025-05-26 17:17:47,645 basehttp "GET /static/webs/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
